Artists_Accession_Number,Art_Term
"863","Collector"
"864","Painting"
"865","Jewelry"
"866","Comics"
"867","Drawing"
"867","Printmaking"
"868","Painting"
"869","Mixed Media"
"869","Painting"
"870","Ceramics"
"871","Design"
"871","Painting"
"871","Printmaking"
"871","Sculpture"
"872","Painting"
"873","Drawing"
"874","Photography"
"875","Murals"
"875","Painting"
"875","Sculpture"
"876","Drawing"
"876","Painting"
"877","Painting"
"877","Printmaking"
"877","Writing"
"879","Painting"
"879","Printmaking"
"879","Textiles"
"879","Writing"
"880","Installation"
"881","Sculpture"
"882","Painting"
"883","Installation"
"883","Painting"
"883","Sculpture"
"885","Painting"
"886","Furniture"
"886","Painting"
"887","Installation"
"888","Drawing"
"888","Painting"
"890","Sculpture"
"893","Furniture"
"894","Photography"
"896","Painting"
"897","Glass"
"897","Installation"
"897","Mixed Media"
"897","Murals"
"897","Sculpture"
"898","Painting"
"898","Sculpture"
"899","Painting"
"900","Painting"
"901","Drawing"
"901","Painting"
"902","Sculpture"
"903","Drawing"
"903","Murals"
"903","Painting"
"903","Works on Paper"
"905","Murals"
"905","Painting"
"905","Photography"
"905","Sculpture"
"906","Painting"
"908","Painting"
"909","Drawing"
"909","Painting"
"912","Installation"
"913","Murals"
"913","Painting"
"914","Mixed Media"
"914","Murals"
"914","Painting"
"915","Graphics"
"915","Illustration"
"915","Mixed Media"
"916","Painting"
"917","Sculpture"
"918","Block Printing"
"920","Painting"
"923","Painting"
"927","Faux Finishing"
"927","Furniture"
"928","Sculpture"
"929","Painting"
"930","Illustration"
"930","Painting"
"932","Murals"
"932","Painting"
"932","Printmaking"
"933","Painting"
"934","Stained Glass"
"936","Painting"
"939","Calligraphy"
"940","Ceramics"
"941","Advertising Design"
"941","Comics"
"941","Graphics"
"941","Photography"
"942","Painting"
"943","Drawing"
"943","Installation"
"944","Holography"
"944","Photography"
"945","Painting"
"946","Collage"
"947","Photography"
"948","Floral Design"
"948","Watercolor"
"949","Painting"
"949","Sculpture"
"950","Illustration"
"951","Glass"
"952","Murals"
"953","Sculpture"
"954","Sculpture"
"955","Advertising Design"
"955","Comics"
"955","Graphics"
"956","Illustration"
"957","Painting"
"958","Painting"
"959","Theater Design"
"960","Mixed Media"
"960","Painting"
"961","Painting"
"962","Artists' Books"
"962","Painting"
"962","Watercolor"
"963","Etching"
"963","Illustration"
"963","Painting"
"964","Maskmaking"
"965","Painting"
"965","Printmaking"
"966","Painting"
"969","Jewelry"
"969","Sculpture"
"971","Installation"
"972","Drawing"
"972","Painting"
"974","Painting"
"975","Painting"
"976","Painting"
"977","Photography"
"979","Painting"
"979","Printmaking"
"980","Fiber Art"
"984","Painting"
"986","Ceramics"
"986","Mixed Media"
"986","Sculpture"
"987","Weaving"
"988","Drawing"
"988","Painting"
"988","Printmaking"
"989","Painting"
"990","Photography"
"991","Painting"
"993","Painting"
"994","Painting"
"995","Sculpture"
"996","Painting"
"997","Painting"
"998","Painting"
"999","Advertising Design"
"999","Graphics"
"1000","Gallery Director"
"1000","Painting"
"1001","Painting"
"1002","Murals"
"1003","Ceramics"
"1003","Sculpture"
"1004","Murals"
"1004","Painting"
"1004","Sculpture"
"1004","Works on Paper"
"1005","Photography"
"1006","Photography"
"1007","Drawing"
"1008","Photography"
"1009","Photography"
"1010","Painting"
"1011","Photography"
"1013","Sculpture"
"1014","Painting"
"1016","Bookplates"
"1016","Murals"
"1016","Painting"
"1017","Painting"
"1019","Installation"
"1020","Ceramics"
"1022","Painting"
"1023","Painting"
"1024","Painting"
"1025","Painting"
"1026","Painting"
"1027","Drawing"
"1027","Faux Finishing"
"1027","Printmaking"
"1029","Caricatures"
"1029","Painting"
"1030","Photography"
"1031","Murals"
"1031","Painting"
"1032","Drawing"
"1032","Gouache"
"1034","Drawing"
"1035","Woodcarving"
"1036","Filmmaker"
"1036","Painting"
"1037","Painting"
"1038","Drafting"
"1038","Painting"
"1039","Collage"
"1040","Painting"
"1041","Painting"
"1041","Printmaking"
"1041","Textiles"
"1042","Painting"
"1043","Painting"
"1044","Painting"
"1044","Photocopies"
"1045","Ceramics"
"1046","Design"
"1047","Painting"
"1049","Photography"
"1050","Photography"
"1052","Advertising Design"
"1055","Painting"
"1056","Photography"
"1057","Painting"
"1058","Painting"
"1059","Collage"
"1060","Photography"
"1061","Sculpture"
"1062","Painting"
"1063","Painting"
"1065","Textiles"
"1066","Painting"
"1067","Murals"
"1068","Painting"
"1069","Graphics"
"1069","Painting"
"1070","Printmaking"
"1070","Woodcuts"
"1072","Jewelry"
"1073","Fiber Art"
"1074","Illustration"
"1074","Painting"
"1075","Sculpture"
"1076","Painting"
"1077","Photography"
"1077","Printmaking"
"1078","Drafting"
"1079","Sculpture"
"1080","Sculpture"
"1081","Construction"
"1081","Murals"
"1081","Painting"
"1081","Sculpture"
"1082","Photography"
"1083","Painting"
"1086","Painting"
"1087","Photography"
"1088","Painting"
"1089","Painting"
"1090","Painting"
"1091","Painting"
"1092","Architecture"
"1092","Painting"
"1093","Painting"
"1093","Photography"
"1095","Furniture"
"1096","Drawing"
"1098","Murals"
"1098","Painting"
"1098","Works on Paper"
"1099","Painting"
"1100","Painting"
"1101","Printmaking"
"1102","Sculpture"
"1105","Painting"
"1106","Drawing"
"1106","Painting"
"1107","Painting"
"1109","Painting"
"1109","Printmaking"
"1112","Construction"
"1112","Installation"
"1112","Painting"
"1112","Sculpture"
"1112","Works on Paper"
"1114","Photography"
"1116","Advertising Design"
"1116","Bookbinding"
"1116","Graphics"
"1117","Jewelry"
"1118","Drawing"
"1118","Painting"
"1118","Works on Paper"
"1119","Advertising Design"
"1119","Graphics"
"1119","Painting"
"1120","Drawing"
"1120","Pastels"
"1121","Painting"
"1122","Painting"
"1124","Murals"
"1124","Painting"
"1125","Painting"
"1127","Miniatures"
"1127","Painting"
"1128","Drawing"
"1131","Painting"
"1132","Painting"
"1133","Comics"
"1134","Pastels"
"1135","Photography"
"1137","Interior Design"
"1137","Painting"
"1137","Theater Design"
"1139","Design"
"1139","Drawing"
"1139","Photography"
"1140","Collagraphs"
"1140","Printmaking"
"1142","Painting"
"1143","Painting"
"1143","Theater Design"
"1144","Printmaking"
"1146","Ceramics"
"1147","Ceramics"
"1148","Sculpture"
"1149","Painting"
"1150","Photography"
"1151","Painting"
"1153","Ceramics"
"1153","Drawing"
"1153","Mixed Media"
"1153","Painting"
"1154","Painting"
"1155","Crafts"
"1155","Weaving"
"1156","Crafts"
"1156","Weaving"
"1157","Photography"
"1158","Painting"
"1159","Advertising Design"
"1159","Graphics"
"1160","Ceramics"
"1161","Sculpture"
"1162","Painting"
"1163","Drawing"
"1163","Painting"
"1164","Jewelry"
"1165","Sculpture"
"1166","Airbrush"
