Artists_Accession_Number,Art_Term
"8338","Sculpture"
"8339","Crafts"
"8340","Assemblage"
"8341","Painting"
"8342","Painting"
"8342","Sculpture"
"8343","Painting"
"8344","Assemblage"
"8345","Sculpture"
"8346","Photography"
"8347","Portraits"
"8348","Calligraphy"
"8349","Mixed Media"
"8350","Jewelry"
"8351","Painting"
"8353","Pastels"
"8354","Etching"
"8354","Painting"
"8355","Ceramics"
"8356","Painting"
"8357","Painting"
"8358","Photography"
"8359","Painting"
"8360","Drawing"
"8360","Painting"
"8361","Photography"
"8362","Sculpture"
"8364","Light Art"
"8365","Painting"
"8366","Painting"
"8367","Performance Art"
"8368","Painting"
"8372","Painting"
"8373","Watercolor"
"8374","Computer Art"
"8374","Illustration"
"8375","Illustration"
"8375","Watercolor"
"8376","Painting"
"8377","Art Educator"
"8377","Ceramics"
"8377","Weaving"
"8377","Woodcarving"
"8378","Painting"
"8380","Ceramics"
"8382","Painting"
"8383","Painting"
"8384","Painting"
"8386","Drawing"
"8386","Murals"
"8386","Painting"
"8386","Toy Making"
"8387","Computer Art"
"8387","Photography"
"8388","Photography"
"8389","Drawing"
"8389","Painting"
"8390","Painting"
"8391","Textiles"
"8392","Photography"
"8393","Jewelry"
"8393","Sculpture"
"8394","Photography"
"8396","Painting"
"8397","Installation"
"8398","Conservation"
"8399","Sculpture"
"8400","Sculpture"
"8401","Photography"
"8402","Painting"
"8403","Painting"
"8404","Painting"
"8408","Comics"
"8410","Painting"
"8411","Murals"
"8412","Photography"
"8413","Murals"
"8414","Drawing"
"8414","Sculpture"
"8415","Photography"
"8416","Sculpture"
"8417","Drawing"
"8418","Murals"
"8419","Painting"
"8420","Painting"
"8421","Acrylics"
"8421","Casein"
"8421","Mixed Media"
"8421","Painting"
"8421","Watercolor"
"8422","Photography"
"8422","Printmaking"
"8424","Painting"
"8424","Sculpture"
"8425","Painting"
"8426","Painting"
"8427","Painting"
"8429","Drawing"
"8430","Block Printing"
"8430","Painting"
"8430","Printmaking"
"8430","Sculpture"
"8430","Writing"
"8431","Painting"
"8431","Printmaking"
"8431","Sculpture"
"8431","Writing"
"8433","Painting"
"8434","Collage"
"8434","Watercolor"
"8435","Painting"
"8436","Construction"
"8436","Multimedia"
"8437","Weaving"
"8438","Painting"
"8440","Sculpture"
"8441","Painting"
"8442","Illustration"
"8442","Painting"
"8443","Printmaking"
"8443","Watercolor"
"8446","Light Art"
"8448","Fiber Art"
"8449","Etching"
"8449","Illustration"
"8450","Sculpture"
"8451","Photography"
"8452","Painting"
"8452","Photography"
"8452","Printmaking"
"8453","Ceramics"
"8455","Painting"
"8456","Painting"
"8457","Pastels"
"8458","Fashion Design"
"8458","Textiles"
"8459","Sculpture"
"8460","Painting"
"8461","Painting"
"8462","Sculpture"
"8463","Photography"
"8464","Photography"
"8465","Painting"
"8465","Sculpture"
"8467","Painting"
"8469","Photography"
"8471","Painting"
"8472","Oil Painting"
"8473","Jewelry"
"8474","Mixed Media"
"8474","Papermaking"
"8474","Sculpture"
"8475","Sculpture"
"8476","Painting"
"8476","Sculpture"
"8477","Furniture"
"8478","Sculpture"
"8479","Collage"
"8479","Sculpture"
"8480","Design"
"8480","Interior Design"
"8480","Muralist"
"8481","Painting"
"8482","Batik"
"8482","Fiber Art"
"8483","Textiles"
"8484","Collage"
"8485","Illustration"
"8486","Murals"
"8487","Murals"
"8488","Performance art"
"8489","Design"
"8489","Sculpture"
"8491","Stained Glass"
"8492","Painting"
"8494","Painting"
"8495","Painting"
"8495","Sculpture"
"8496","Painting"
"8496","Sculpture"
"8498","Portraits"
"8501","Illustration"
"8502","Painting"
"8502","Printmaking"
"8504","Painting"
"8505","Tapestry"
"8505","Weaving"
"8506","Painting"
"8507","Murals"
"8508","Photography"
"8509","Painting"
"8511","Photography"
"8512","Drawing"
"8512","Painting"
"8512","Wood Block Printing"
"8513","Photography"
"8514","Drawing"
"8514","Painting"
"8514","Photography"
"8514","Printmaking"
"8516","Crafts"
"8516","Sculpture"
"8517","Construction"
"8518","Painting"
"8519","Mixed Media"
"8520","Lithography"
"8520","Painting"
"8522","Printmaking"
"8523","Sculpture"
"8524","Watercolor"
"8525","Drafting"
"8525","Printmaking"
"8527","Advertising Design"
"8527","Photography"
"8528","Painting"
"8529","Painting"
"8529","Printmaking"
"8531","Etching"
"8531","Graphics"
"8532","Painting"
"8533","Furniture"
"8534","Fresco"
"8535","Painting"
"8536","Ceramics"
"8536","Painting"
"8536","Printmaking"
"8536","Sculpture"
"8537","Installation"
"8537","Murals"
"8537","Painting"
"8538","Painting"
"8539","Watercolor"
"8540","Printmaking"
"8541","Mixed Media"
"8541","Painting"
"8541","Sculpture"
"8543","Photography"
"8544","Painting"
"8545","Painting"
"8545","Watercolor"
"8546","Textiles"
"8547","Sculpture"
"8549","Painting"
"8551","Painting"
"8552","Painting"
"8553","Photography"
"8554","Painting"
"8555","Printmaking"
"8556","Painting"
"8557","Painting"
"8558","Photography"
"8559","Costume Design"
"8560","Painting"
"8561","Photography"
"8562","Video Art"
"8563","Drawing"
"8564","Ink"
"8564","Painting"
"8565","Painting"
"8565","Printmaking"
"8566","Makeup Artist"
"8567","Painting"
"8568","Painting"
"8569","Comics"
"8569","Illustration"
"8569","Painting"
"8569","Writing"
"8570","Painting"
"8570","Printmaking"
"8571","Painting"
"8572","Etching"
"8572","Lithography"
"8573","Painting"
"8574","Comics"
"8575","Metalwork"
"8576","Graphics"
"8577","Kitemaking"
"8577","Painting"
"8577","Sculpture"
"8578","Painting"
"8580","Advertising Design"
"8580","Painting"
"8582","Painting"
"8583","Murals"
"8583","Painting"
"8583","Sculpture"
"8584","Drawing"
"8586","Photography"
"8587","Photography"
"8588","Painting"
"8589","Dollmaking"
"8589","Puppetry"
"8590","Drawing"
"8590","Etching"
"8590","Painting"
"8592","Textiles"
"8593","Mixed Media"
"8594","Architecture"
"8594","Painting"
"8594","Sculpture"
"8595","Sculpture"
"8596","Painting"
"8596","Sculpture"
"8598","Painting"
"8599","Painting"
"8601","Painting"
"8602","Ceramics"
"8603","Ceramics"
"8604","Drawing"
"8604","Painting"
"8605","Sculpture"
"8607","Mixed Media"
"8608","Advertising Design"
"8608","Design"
"8608","Drawing"
"8608","Graphics"
"8608","Printmaking"
"8609","Painting"
"8609","Printmaking"
"8610","Photography"
"8612","Mixed Media"
"8613","Metalwork"
"8614","Painting"
"8614","Portraits"
"8615","Painting"
"8616","Photography"
"8617","Painting"
"8618","Drawing"
"8618","Glass"
"8618","Painting"
"8618","Watercolor"
"8619","Painting"
"8619","Sculpture"
"8619","Writing"
"8620","Painting"
"8621","Painting"
"8622","Painting"
"8623","Illustration"
"8624","Ceramics"
"8624","Fiber Art"
"8624","Sculpture"
"8625","Illustration"
"8625","Painting"
"8625","Printmaking"
"8626","Icons"
"8627","Ceramics"
"8628","Printmaking"
"8629","Painting"
"8629","Watercolor"
"8630","Watercolor"
"8631","Comics"
"8631","Muralist"
"8631","Painting"
"8631","Scenography"
"8632","Lithography"
"8632","Painting"
"8633","Costume Design"
"8634","Marine Painting"
"8634","Painting"
"8637","Painting"
"8638","Drawing"
"8640","Interior Design"
"8640","Silversmithing"
"8641","Sculpture"
"8642","Sculpture"
"8643","Furniture"
"8643","Sculpture"
"8645","Ceramics"
"8645","Watercolor"
"8645","Wood Block Printing"
"8646","Animation"
"8646","Filmmaker"
"8648","Painting"
"8649","Sculpture"
"8650","Jewelry"
"8651","Painting"
"8652","Icons"
"8653","Ceramics"
"8654","Painting"
"8655","Photography"
"8656","Painting"
"8657","Furniture"
"8658","Photography"
"8659","Painting"
"8660","Painting"
"8660","Portraits"
"8661","Watercolor"
"8664","Bronzes"
"8664","Painting"
"8664","Pastels"
"8664","Printmaking"
"8665","Printmaking"
"8666","Drawing"
"8666","Painting"
"8667","Painting"
"8668","Artists' Books"
"8668","Painting"
"8669","Dollmaking"
"8670","Printmaking"
"8672","Engraving"
"8673","Computer Art"
"8673","Photography"
"8674","Painting"
"8675","Painting"
"8676","Drawing"
"8676","Pastels"
"8676","Sculpture"
"8677","Greeting Cards"
"8677","Illumination"
"8677","Illustration"
"8678","Ceramics"
"8679","Murals"
"8679","Painting"
"8681","Painting"
"8683","Acrylics"
"8683","Painting"
"8683","Writing"
"8685","Woodcarving"
"8686","Photography"
"8688","Etching"
"8689","Painting"
"8690","Painting"
"8691","Drawing"
"8691","Painting"
"8692","Painting"
"8692","Writing"
"8693","Photography"
"8694","Drawing"
"8694","Painting"
"8695","Installation"
"8695","Sculpture"
"8697","Photography"
"8698","Painting"
"8699","Painting"
"8700","Ceramics"
"8703","Painting"
"8704","Mixed Media"
"8705","Painting"
"8706","Painting"
"8707","Design"
"8707","Illustration"
"8707","Painting"
"8707","Printmaking"
"8707","Wood Block Printing"
"8708","Photography"
"8709","Painting"
"8710","Painting"
"8711","Drawing"
"8711","Mixed Media"
"8711","Painting"
"8711","Textiles"
"8712","Artists' Books"
"8713","Painting"
"8713","Printmaking"
"8715","Painting"
"8716","Multimedia"
"8718","Painting"
"8719","Ceramics"
"8719","Furniture"
"8720","Ceramics"
"8723","Sculpture"
"8724","Painting"
"8725","Photography"
"8726","Lithography"
"8728","Drawing"
"8728","Painting"
"8729","Advertising Design"
"8729","Graphics"
"8730","Painting"
"8730","Portraits"
"8731","Painting"
"8732","Painting"
"8733","Painting"
"8734","Sculpture"
"8736","Sculpture"
"8737","Painting"
"8737","Printmaking"
"8737","Sculpture"
"8739","Jewelry"
"8740","Painting"
"8740","Printmaking"
"8740","Sculpture"
"8741","Ceramics"
"8741","Painting"
"8742","Photography"
"8743","Photography"
"8744","Sculpture"
"8745","Folk Art"
"8745","Sculpture"
"8745","Woodcarving"
"8746","Painting"
"8747","Sculpture"
"8748","Painting"
"8749","Textiles"
"8749","Weaving"
"8750","Painting"
"8752","Painting"
"8753","Papermaking"
"8754","Sculpture"
"8756","Painting"
"8758","Murals"
"8758","Painting"
"8760","Photography"
"8761","Painting"
"8761","Printmaking"
"8762","Drawing"
"8762","Painting"
"8763","Ceramics"
"8763","Fresco"
"8763","Murals"
"8763","Stained Glass"
"8764","Painting"
"8765","Advertising Design"
"8765","Graphics"
"8766","Painting"
"8769","Drypoint"
"8769","Filmmaker"
"8769","Photography"
"8769","Printmaking"
"8769","Wood Block Printing"
"8770","Painting"
"8771","Photography"
"8772","Painting"
"8773","Sculpture"
"8775","Painting"
"8776","Drawing"
"8776","Painting"
"8777","Painting"
"8778","Illustration"
"8778","Painting"
"8779","Photography"
"8781","Painting"
"8782","Photography"
"8783","installation"
"8784","Drawing"
"8784","Encaustic Painting"
"8784","Painting"
"8784","Pastels"
"8784","Watercolor"
"8786","Painting"
"8788","Painting"
"8789","Painting"
"8790","Painting"
"8791","Printmaking"
"8792","Painting"
"8793","Painting"
"8794","Sculpture"
"8795","Painting"
"8795","Photography"
"8796","Painting"
"8797","Mixed Media"
"8798","Mixed Media"
"8798","Painting"
"8799","Video Art"
"8800","Architecture"
"8800","Painting"
"8801","Textiles"
"8802","Muralist"
"8802","Painting"
"8802","Printmaking"
"8802","Tempera"
"8802","Watercolor"
"8803","Murals"
"8803","Painting"
"8803","Rubbings"
"8803","Wood Block Printing"
"8804","Painting"
"8805","Sculpture"
"8807","Painting"
"8809","Fiber Art"
"8810","Assemblage"
"8811","Painting"
"8812","Installation"
"8812","Sculpture"
"8812","Video Art"
"8813","Painting"
"8814","Ceramics"
"8815","Computer Art"
"8816","Bookplates"
"8816","Printmaking"
"8817","Painting"
"8818","Photography"
"8819","Architecture"
"8819","Ceramics"
"8820","Painting"
"8821","Drawing"
"8821","Painting"
"8823","Sculpture"
"8823","Video Art"
"8824","Murals"
"8826","Installation"
"8826","Painting"
"8826","Sculpture"
"8827","collector"
"8828","Video Art"
"8829","Collector"
"8830","Painting"
"8831","Painting"
"8832","Muralist"
"8832","Painting"
"8835","Collector"
"8838","photography"
"8839","Painting"
"8840","Painting"
"8842","Collage"
"8843","Watercolor"
"8844","Watercolor"
"8849","Photography"
"8850","Painting"
"8861","Computer Art"
"8861","Painting"
"8862","Drawing"
"8883","Ceramics"
"8883","Printmaking"
"8883","Sculpture"
"8892","Assemblage"
"8893","Photography"
"8900","Painting"
"8909","Drawing"
"8909","photography"
"8909","Sculpture"
"8910","Collage"
"8911","Painting"
"8911","Sculpture"
"8912","Sculpture"
"8915","Stained Glass"
"8916","Painting"
"8918","Quilting"
"8919","Painting"
"8919","Sculpture"
"8920","Sculpture"
"8921","Painting"
"8922","Painting"
"8923","Painting"
"8928","Painting"
"8930","Painting"
"8936","Painting"
"8939","Painting"
"8941","Glass"
"8942","Painting"
"8943","Painting"
"8945","Graphics"
"8950","Sculpture"
"8951","Photography"
"8952","Furniture"
"8954","Photography"
"8957","Painting"
"8958","Photography"
"8959","Photography"
"8961","Computer Art"
"8961","Painting"
"8962","Curator"
"8962","Painting"
"8963","Photography"
"8964","Mixed Media"
"8965","Painting"
"8966","Jewelry"
"8971","Sculpture"
"8972","Painting"
"8973","Graphics"
"8975","Painting"
"8977","Painting"
"8979","Photography"
"8984","Church Decoration"
"8985","Engraving"
"8985","Painting"
"8985","Sculpture"
"8986","Landscapes"
"8988","Painting"
"8990","Sculpture"
"8991","Portraits"
"8998","Sculpture"
"9000","Photography"
"9005","Sculpture"
"9006","Painting"
"9010","Fashion Design"
"9012","Gallery Owner"
"9014","Collector"
"9015","Photography"
"9016","Painting"
"9017","Photography"
"9018","Photography"
"9019","Photography"
"9020","Painting"
"9021","Drawing"
"9021","Painting"
"9021","Photography"
"9023","Painting"
"9026","Photography"
"9027","Sculpture"
"9029","Collector"
"9030","Ceramics"
"9030","Glass"
"9034","Painting"
"9041","Painting"
"9043","Sculpture"
"9044","Murals"
"9044","Painting"
"9049","Painting"
"9059","Photography"
"9061","Acrylics"
"9061","Painting"
"9065","Painting"
"9067","Painting"
"9068","Photography"
"9071","Graffiti"
"9073","Photography"
"9075","Acrylics"
"9075","Art Educator"
"9075","Gourds"
"9075","Painting"
"9075","Pyrography"
"9075","Scratchboard"
"9075","Stone Carving"
"9077","Floral Design"
"9077","Graffiti"
"9077","Metalwork"
"9077","Photograms"
"9077","Sound Sculpture"
"9077","Topiary Sculpture"
"9078","Installation"
"9079","Painting"
"9080","Video Art"
"9081","Oil Painting"
"9081","Painting"
"9082","Oil Painting"
"9082","Painting"
"9083","Artists' Books"
"9083","Mixed Media"
"9083","Sculpture"
"9084","Painting"
"9085","Papermaking"
"9086","Installation"
"9087","Pastels"
"9088","Painting"
"9088","Photography"
"9089","Computer Art"
"9089","Pastels"
"9089","Watercolor"
"9090","Sculpture"
"9090","Woodcarving"
"9091","Acrylics"
"9091","Furniture"
"9092","Furniture"
"9093","Collage"
"9094","Photography"
"9095","Painting"
"9096","Drawing"
"9097","Oil Painting"
"9098","Cartoons"
"9098","Drawing"
"9099","Painting"
"9100","Drawing"
"9101","Photography"
"9102","Painting"
"9103","Mixed Media"
"9104","Painting"
"9105","Painting"
"9106","Painting"
"9107","Drawing"
"9107","Printmaking"
"9108","Painting"
"9109","Mixed Media"
"9109","Painting"
"9111","Painting"
"9112","Drawing"
"9113","Glass"
"9113","Sculpture"
"9114","Painting"
"9115","Oil Painting"
"9116","Watercolor"
"9117","Mixed Media"
"9117","Painting"
"9118","Drawing"
"9119","Collagraphs"
"9119","Mixed Media"
"9120","Mixed Media"
"9121","Mixed Media"
"9122","Acrylics"
"9122","Pastels"
"9123","Drawing"
"9123","Papermaking"
"9124","Oil Painting"
"9126","Painting"
"9127","Painting"
"9128","Mixed Media"
"9129","Drawing"
"9130","Oil Painting"
"9131","Painting"
"9133","Photography"
"9134","Photography"
"9135","Photography"
"9136","Photography"
"9137","Photography"
"9138","Photography"
"9139","Photography"
"9140","Photography"
"9141","Sculpture"
"9142","Painting"
"9143","Painting"
"9145","Painting"
"9146","Watercolor"
"9147","Watercolor"
"9148","Photography"
"9149","Photography"
"9150","Photography"
"9151","Photography"
"9152","Photography"
"9153","Photography"
"9154","Photography"
"9155","Photography"
"9156","Photography"
"9157","Photography"
"9158","Photography"
"9159","Photography"
"9165","Painting"
"9167","Painting"
"9168","Painting"
"9170","Painting"
"9171","Drawing"
"9171","Painting"
"9172","Painting"
"9173","Photography"
"9174","Installation"
"9174","Photography"
"9175","Photography"
"9176","Photography"
"9177","Photography"
"9178","Photography"
"9179","Photography"
"9180","Photography"
"9181","Photography"
"9182","Photography"
"9183","Photography"
"9184","Photography"
"9185","Photography"
"9186","Photography"
"9187","Photography"
"9188","Photography"
"9189","Photography"
"9190","Filmmaker"
"9190","Photography"
"9191","Photography"
"9193","Photography"
"9195","Photography"
"9196","Painting"
"9196","Photography"
"9197","Photography"
"9198","Photography"
"9199","Photography"
"9200","Photography"
"9201","Sculpture"
"9202","Encaustic Painting"
"9206","Sculpture"
"9207","Gouache"
"9208","Collage"
"9208","Painting"
"9209","Screen Printing"
"9212","Painting"
"9213","Photography"
"9214","Mixed Media"
"9216","Murals"
"9216","Painting"
"9216","Works on Paper"
"9218","Ceramics"
"9219","Painting"
"9220","Painting"
"9221","Installation"
"9221","Performance Art"
"9222","Illustration"
"9223","Painting"
"9224","Painting"
"9225","Photography"
"9226","Painting"
"9227","Photography"
"9230","Photography"
"9232","Painting"
"9234","Performance Art"
"9236","Performance Art"
"9237","Filmmaker"
"9239","Video Art"
"9240","Performance Art"
"9241","Performance Art"
"9242","Crafts"
"9242","Greeting Cards"
"9243","Performance Art"
"9244","Curator"
"9246","Cartoons"
"9248","Painting"
"9249","Drawing"
"9250","Filmmaker"
"9251","Filmmaker"
"9252","Performance Art"
"9253","Filmmaker"
"9254","Filmmaker"
"9255","Filmmaker"
"9256","Filmmaker"
"9257","Filmmaker"
"9258","Filmmaker"
"9259","Filmmaker"
"9260","Filmmaker"
"9262","Silversmithing"
"9263","Painting"
"9264","Drawing"
"9264","Installation"
"9264","Painting"
"9265","Photography"
"9266","Photography"
"9267","Airbrush"
"9268","Performance Art"
"9269","Filmmaker"
"9270","Filmmaker"
"9270","Painting"
"9271","Filmmaker"
"9272","Filmmaker"
"9274","Filmmaker"
"9275","Painting"
"9276","Graphics"
"9278","Drawing"
"9279","Painting"
"9280","Painting"
"9283","Painting"
"9284","Watercolor"
"9285","Collage"
"9286","Sculpture"
"9288","Painting"
"9289","Curator"
"9290","Photography"
"9291","Photography"
"9292","Photography"
"9294","Painting"
"9295","Photography"
"9298","Installation"
"9299","Photography"
"9300","Photography"
"9301","Painting"
"9302","Photography"
"9305","Painting"
"9306","Sculpture"
"9307","Collage"
"9308","Painting"
"9309","Ceramics"
"9310","Sculpture"
"9312","Sculpture"
"9313","Curator"
"9313","Photography"
"9314","Sculpture"
"9316","Photography"
"9317","Photography"
"9318","Photography"
"9321","Painting"
"9322","Fashion Design"
"9322","Sculpture"
"9324","Painting"
"9325","Oil Painting"
"9325","Pastels"
"9325","Watercolor"
"9326","Oil Painting"
"9326","Watercolor"
"9327","Photography"
"9328","Video Art"
"9329","Photography"
"9330","Photography"
"9332","Painting"
"9333","Painting"
"9336","Painting"
"9337","Sculpture"
"9338","Etching"
"9338","Lithography"
"9339","Sculpture"
"9341","Painting"
"9342","Woodcuts"
"9344","Ceramics"
"9345","Sculpture"
"9348","Painting"
"9349","Jewelry"
"9351","Painting"
"9353","Acrylics"
"9353","Oil Painting"
"9353","Painting"
"9353","Pastels"
"9353","Photography"
"9353","Watercolor"
"9354","Painting"
"9355","Drawing"
"9356","Murals"
"9356","Painting"
"9356","Works on Paper"
"9358","Photography"
"9359","Photography"
"9360","Printmaking"
"9361","Painting"
"9363","Painting"
"9366","Painting"
"9367","Painting"
"9370","Painting"
"9371","Painting"
"9373","Fashion Design"
"9374","Mixed Media"
"9375","Painting"
"9377","Cartoons"
"9378","Watercolor"
"9379","Sculpture"
"9380","Painting"
"9381","Photography"
"9382","Painting"
"9384","Painting"
"9385","Painting"
"9386","Painting"
"9386","Sculpture"
"9387","Photography"
"9388","Collage"
"9389","Photography"
"9393","Sculpture"
"9394","Collage"
"9397","Painting"
"9398","Photography"
"9399","Drawing"
"9400","Drawing"
"9401","Photography"
"9402","Photography"
"9403","Painting"
"9403","Writing"
"9404","Painting"
"9405","Painting"
"9406","Painting"
"9407","Construction"
"9407","Installation"
"9407","Murals"
"9407","Painting"
"9407","Works on Paper"
"9408","Fashion Design"
"9409","Murals"
"9411","Design"
"9412","Woodcarving"
"9416","Painting"
"9417","Drawing"
"9417","Painting"
"9418","Photography"
"9419","Pastels"
"9420","Painting"
"9421","Glass"
"9422","Painting"
"9423","Painting"
"9424","Painting"
"9425","Painting"
"9426","Painting"
"9430","Interior Design"
"9431","Painting"
"9432","Drawing"
"9434","Ceramics"
"9436","Sculpture"
"9437","Murals"
"9439","Painting"
"9440","Murals"
"9441","Painting"
"9442","Painting"
"9443","Photography"
"9444","Collector"
"9445","Painting"
"9446","Bronzes"
"9447","Architecture"
"9447","Painting"
"9449","Graphics"
"9450","Textiles"
"9452","Photography"
"9453","Dollmaking"
"9454","Painting"
"9455","Sculpture"
"9456","Jewelry"
"9457","Costume Design"
"9458","Painting"
"9458","Sculpture"
"9459","Painting"
"9460","Painting"
"9460","Video Art"
"9461","Photography"
"9463","Sculpture"
"9466","Photography"
"9468","Cartoons"
"9470","Ceramics"
"9471","Painting"
"9472","Drawing"
"9473","Painting"
"9474","Drawing"
"9477","Beadwork"
"9481","Photography"
"9482","Photography"
"9495","Painting"
"9496","Painting"
"9498","Sculpture"
"9499","Painting"
"9502","Painting"
"9509","Painting"
"9510","Painting"
"9519","Photography"
"9520","Portraits"
"9521","Painting"
"9522","Painting"
"9523","Installation"
"9523","Photography"
"9523","Sculpture"
"9524","Painting"
"9525","Drawing"
"9525","Painting"
"9525","Sculpture"
"9527","Photography"
"9528","Collage"
"9529","Painting"
"9530","Painting"
"9531","Painting"
"9533","Photography"
"9534","Multimedia"
"9534","Painting"
"9535","Painting"
"9536","Photography"
"9537","Photography"
"9539","Painting"
"9540","Curator"
"9541","Fashion Design"
"9542","Painting"
"9543","Photography"
"9544","Painting"
"9545","Installation"
"9547","Screen Printing"
"9548","Photography"
"9549","Conceptual Art"
"9550","Sculpture"
"9552","Sculpture"
"9553","Photography"
"9554","Painting"
"9555","Painting"
"9559","Painting"
"9559","Printmaking"
"9560","Quilting"
"9561","Cartoons"
"9562","Drawing"
"9563","Painting"
"9564","Photography"
"9568","Installation"
"9568","Multimedia"
"9568","Painting"
"9568","Sculpture"
"9571","Painting"
"9573","Watercolor"
"9574","Painting"
"9576","Painting"
"9577","Sculpture"
"9582","Painting"
"9583","Photography"
"9584","Gallery Director"
"9586","Photography"
"9591","Sculpture"
"9595","Painting"
"9596","Painting"
"9599","Painting"
"9603","Painting"
"9605","Ceramics"
"9606","Photography"
"9607","Photography"
"9609","Sculpture"
"9611","Drawing"
"9612","Photography"
"9620","Light Art"
"9620","Sound Sculpture"
"9633","Sculpture"
"9634","Sculpture"
"9635","Installation"
"9637","Performance Art"
"9642","Painting"
"9643","Architecture"
"9645","Photography"
"9646","Painting"
"9647","Photography"
"9655","Drawing"
"9659","Painting"
"9660","Photography"
"9662","Sculpture"
"9665","Photography"
"9667","Fashion Design"
"9669","Drawing"
"9670","Sculpture"
"9672","Painting"
"9675","Photography"
"9692","Comics"
"9699","Photography"
"9702","Photography"
"9707","Painting"
"9709","Photography"
"9710","Photography"
"9711","Sculpture"
"9715","Sculpture"
"9716","Photography"
"9718","Encaustic Painting"
"9719","Photography"
"9720","Mixed Media"
"9722","Photography"
"9723","Painting"
"9724","Painting"
"9729","Mixed Media"
"9733","Painting"
"9734","Mixed Media"
"9736","Painting"
"9741","Painting"
"9742","Painting"
"9743","Graffiti"
"9743","Painting"
"9744","Sculpture"
"9747","Tapestry"
"9751","Painting"
"9763","Multimedia"
"9769","Painting"
"9770","Embroidery"
"9778","Painting"
"9779","Painting"
"9780","Photography"
"9790","Photography"
"9792","Construction"
"9792","Multimedia"
"9792","Sculpture"
"9797","Painting"
"9805","Photography"
"9806","Photography"
"9807","Photography"
"9808","Photography"
"9809","Photography"
"9810","Photography"
"9811","Photography"
"9812","Photography"
"9813","Photography"
"9814","Photography"
"9815","Photography"
"9816","Photography"
"9817","Photography"
"9818","Photography"
"9819","Photography"
"9820","Photography"
"9821","Photography"
"9822","Photography"
"9823","Photography"
"9824","Photography"
"9825","Photography"
"9826","Photography"
"9924","Photography"
"9925","Curator"
"9932","Sculpture"
"9932","Watercolor"
"9938","Sculpture"
"9983","Painting"
"9983","Photography"
"10026","Photography"
"10028","Fiber Art"
"10061","Painting"
"10085","Printmaking"
"10092","Painting"
"10093","Painting"
"10096","Painting"
"10098","Painting"
"10099","Photography"
"10100","Printmaking"
"10101","Graffiti"
"10102","Graffiti"
"10109","Graphics"
"10113","Graffiti"
"10118","Graffiti"
"10126","Graffiti"
"10132","Painting"
"10140","Illustration"
"10141","Painting"
"10142","Photography"
"10143","Fiber Art"
"10146","Social Practice"
"10147","Painting"
"10148","Conceptual Art"
"10148","Found Objects"
"10150","Collage"
"10150","Graphics"
"10150","Illustration"
"10152","Graphics"
"10153","Graphics"
"10158","Collector"
"10159","Performance Art"
"10160","Gallery Director"
"10162","Comics"
"10163","Comics"
"10164","Comics"
"10165","Comics"
"10166","Fiber Art"
"10167","Gallery Director"
"10168","Sculpture"
"10169","Sculpture"
"10170","Sculpture"
"10171","Sculpture"
"10172","Sculpture"
"10173","Painting"
"10178","Painting"
"10186","Basketmaking"
"10187","Photography"
"10188","Drawing"
"10189","Photography"
"10190","Painting"
"10191","Acrylics"
"10191","Metalwork"
"10191","Quilting"
"10191","Screen Printing"
"10192","Photography"
"10193","Painting"
"10194","Photography"
"10194","Typography"
"10195","Painting"
"10198","Painting"
"10200","Ceramics"
"10200","Sculpture"
"10201","Collage"
"10202","Sculpture"
"10203","Mixed Media"
"10204","Sculpture"
"10205","Painting"
"10207","Light Art"
"10208","Painting"
"10211","Painting"
"10212","Painting"
"10213","Gouache"
"10217","Painting"
"10217","Sculpture"
"10220","Multimedia"
"10220","Muralist"
"10220","Painting"
"10220","Street Art"
"10222","Gallery Director"
"10223","Murals"
"10227","Painting"
"10230","Fiber Art"
"10242","Photography"
"10244","Watercolor"
"10248","Murals"
"10250","Art Critic"
"10252","Watercolor"
"10253","Jewelry"
"10259","Cartoons"
"10260","Sculpture"
"10261","Photography"
"10267","Mixed Media"
"10268","Photography"
"10269","Photography"
"10272","Painting"
"10274","Construction"
"10274","Gouache"
"10274","Painting"
"10276","Drawing"
"10276","Painting"
"10277","Painting"
"10280","Jewelry"
"10281","Curator"
"10281","Gallery Director"
"10281","Painting"
"10282","Street Art"
"10291","Painting"
"10296","Sculpture"
"10297","Mixed Media"
"10298","Illustration"
"10299","Photography"
"10300","Multimedia"
"10302","Painting"
"10303","Drawing"
"10303","Fashion Design"
"10303","Jewelry"
"10303","Painting"
"10304","Painting"
"10305","Sculpture"
"10306","Painting"
"10308","Quilting"
"10309","Multimedia"
"10310","Mixed Media"
"10311","Photography"
"10312","Mixed Media"
"10313","Photography"
"10314","Painting"
"10315","Mixed Media"
"10316","Comics"
"10317","Multimedia"
"10318","Sculpture"
"10319","Painting"
"10320","Photography"
"10321","Photography"
"10322","Photography"
"10323","Woodcuts"
"10324","Ceramics"
"10325","Mixed Media"
"10326","Painting"
"10327","Drawing"
"10328","Painting"
"10335","Architecture"
"10336","Installation"
"10336","Multimedia"
"10336","Painting"
"10336","Photography"
"10336","Sculpture"
"10336","Works on Paper"
"10342","Furniture"
"10343","Painting"
"10345","Muralist"
"10345","Painting"
"10350","Painting"
"10351","Graphics"
"10351","Watercolor"
"10354","Photography"
"10355","Woodcuts"
"10358","Photography"
"10365","Photography"
"10366","Social Practice"
"10367","Graffiti"
