Artist_Accession_Number,Article_Citation
"8179","Art Forum v.26 3/88 p.5"
"8304","Art Forum, 10/84"
"2958","Art Gallery 12 (May 1969), p. 16, 66"
"5979","Art in America 3/83 p. 123"
"6665","Art in America 3/91 p. 143"
"5979","Art in America 9/84 p. 208"
"4745","Art in America v 76 10/88 p. 204"
"8179","Art in America v.78 9/90 p.41"
"8179","Art in America v.83 11/95 p.120-121"
"82","Art in America"
"466","Art in America"
"2721","Art in America 1/84, p. 74"
"6336","Art in America 1/90 pp. 131-181"
"5496","Art in America 1/91"
"4641","Art in America 1/91 p131"
"3524","Art in America 1/91, p. 131"
"5857","Art in America 10/82 p. 114"
"7067","Art in America 10/89"
"5496","Art in America 10/92"
"3303","Art in America 2/56"
"2226","Art in America 2/85"
"1603","Art in America 2/85 p128-135"
"2669","Art in America 2/85 pp. 128-135"
"4413","Art in America 3/83"
"1256","Art in America 3/83 p122"
"1102","Art in America 3/83 p127"
"2721","Art in America 3/83, p. 124"
"3835","Art in America 4/86, p. 91"
"3835","Art in America 4/95, p. 61"
"5137","Art in America 5/85 p. 152"
"8429","Art in America, 2/85 p.138-135"
"1107","Art in America, 2/85, p141"
"4350","Art in America, 3/83, p. 124"
"4350","Art in America, July/Aug., 1976, pp. 79-81"
"2634","Art in America, July/August 1976, p. 79-81"
"8167","Art International 7 2/63:52-55"
"5496","Art Journal Fall '91, pp. 65-9"
"7657","Art Journal v. 50, Summer '91, pp. 29-34"
"7504","Art New England 3/90, p. 8"
"433","Art News"
"462","Art News"
"298","Art News"
"5496","Art News 10/92"
"5496","Art News 11/88"
"6589","Art News 12/89 p. 76"
"5496","Art News 12/90"
"3514","Art News 28:15 3/22/30"
"4698","Art News 31:6 Feb. 4 '33"
"4698","Art News 36:14 Dec. 25 '37"
"5382","Art News 37:21 Jl '39"
"4698","Art News 45:60 May '46"
"8179","Art News v.87 Summer 88, p.194"
"1017","Art News v29 #13, Feb. 28, 1931"
"5496","Art News12/90"
"6838","Art Paper 3/87"
"382","Art Scene"
"6682","Art Scene v. 2, no. 5, Feb. 1969"
"304","ArtForum"
"466","Artforum"
"6495","ArtForum 5/90 p. 195"
"466","ArtNews"
"4698","Arts & Architecture 72:21 May '55"
"5382","Arts and Dec. 37:44-5 S'32"
"8304","Arts Mag., 6/83"
"3524","Arts Magazine 10/82"
"6120","Arts Magazine 10/82 pp. 112-117"
"1409","Arts Magazine 10/82 pp112-117"
"1643","Arts Magazine 12/81"
"6495","Arts Magazine 3/90 pp. 123-4"
"1107","Arts Magazine, September 1981, p6"
"7336","Artweek 3/5/89 p. 5"
"2227","Avenue M 12/88"
"462","Bauen + Wohnen"
"4127","Border Crossings 1/91 p. 5, 36-47"
"1089","Brush and Pencil, July 1901, v. VIII, #4"
"3797","C.A.C. News 5/98 pp. 8-9"
"3797","C.A.C. News 6/98 p. ?"
"2576","C.S.T. 12/1/87 p. 41"
"3523","C.S.T. 12/9/90, sect. E, p. 5"
"3531","CAC News 6/98"
"8431","CAC News, Sept. 1986, p.4"
"3773","Calif.Art & Arch. 58:20-1  April '41"
"8540","Chicago"
"8304","Chicago 10/88"
"2958","Chicago 10/88 pp. 136-141, 192, 193"
"4417","Chicago 12/83"
"5857","Chicago 2/90"
"3921","Chicago 3/89"
"2206","Chicago Artists' News 12/90 p6"
"5000","Chicago Artists' News 4/96"
"932","Chicago Daily News (newspaper)"
"7133","Chicago Daily News obit."
"3369","Chicago Daily News, 4/27/57, p?"
"2580","Chicago Daily News, March 31, 1949, p. 42"
"3147","Chicago Daily News, obit., June 13, 1958, p. 23"
"3147","Chicago Daily Tribune, obit., June 13, 1958, sect 3, p. 6"
"2065","Chicago Exhange, Sept. (?), Nov. (?), Dec. (?), 12, 1985"
"5584","Chicago Herald & Examiner 10/7/23"
"4232","Chicago History summer 1995"
"4231","Chicago History Summer 1995"
"5474","Chicago History, Summer 1995"
"1211","Chicago Home & Garden"
"212","Chicago Literary Times (Special Collections)"
"3965","Chicago Magazine 11/82 p. 18"
"2179","Chicago Magazine 8/84 p?"
"82","Chicago Magazine"
"932","Chicago Magazine"
"5857","Chicago Magazine Mar/Apr 1972 pp. 67, 69, 80"
"8527","Chicago Magazine, 12/87"
"8451","Chicago Magazine, 2/97 p.74"
"5472","Chicago Magazine, July 1985, p. ?"
"4365","Chicago Reader  9/11/87, p. 7"
"932","Chicago Reader"
"530","Chicago Reader"
"749","Chicago Reader"
"812","Chicago Reader"
"4094","Chicago Reader 10/4/96"
"2705","Chicago Reader 2/19/88, sec 1, p 7"
"2901","Chicago Reader 2/3/89"
"2206","Chicago Reader 4/11/03"
"2228","Chicago Reader 6/14/87 sec 1, p 44"
"1257","Chicago Reader 9/26/86 sec.1 p.6"
"3029","Chicago Reader, 9/30/88, Sec 1,p.1"
"5434","Chicago Reader, July 8, 1988, p. ?"
"1162","Chicago Reader, March 7, 1986, s1, p7"
"304","Chicago Sun Times (newspaper)"
"731","Chicago Sun Times (newspaper)"
"932","Chicago Sun Times (newspaper)"
"404","Chicago Sun Times (newspaper)"
"397","Chicago Sun Times (newspaper)"
"582","Chicago Sun Times (newspaper)"
"341","Chicago Sun Times (newspaper)"
"4765","Chicago Sun Times (newspaper)"
"6055","Chicago Sun Times 10/3/97 p.?"
"2320","Chicago Sun Times 11/24/87, p. 20"
"2669","Chicago Sun Times 12/13/96 p. 18"
"5880","Chicago Sun Times 3/3/52 sec 2 pp 1-3"
"8304","Chicago Sun Times, 12/9/90, sec. E, p.5"
"8347","Chicago Sun Times, 2/26/86, pp. 39, 42"
"8304","Chicago Sun Times, 6/4/71"
"8098","Chicago Sun Times, October 16, 1988, pp. 1, 7 (\"Entertaining\")"
"67","Chicago Sun Times (newspaper)"
"229","Chicago Sun Times (newspaper)"
"994","Chicago Sun Times (newspaper)"
"1800","Chicago Sun Times 10/21/56"
"4340","Chicago Sun Times 10/24/88, p.?"
"1257","Chicago Sun Times 10/3/86 p70"
"4321","Chicago Sun Times 11/15/87, p.?"
"3453","Chicago Sun Times 12/29/90 sec. E, p. 5"
"1900","Chicago Sun Times 12/9/90"
"1067","Chicago Sun Times 12/9/90, Sec. E, p. 5"
"3701","Chicago Sun Times 12/9/90, sect. E, p. 5"
"2901","Chicago Sun Times 12/9/90, sect. E, p. 5"
"5857","Chicago Sun Times 12/9/90, sect. E, p. 5"
"7504","Chicago Sun Times 12/9/90, sect. e, p. 5"
"7271","Chicago Sun Times 12/9/90, sect. E, p. 5"
"5508","Chicago Sun Times 2/1/70, sec 3, p. 1"
"5242","Chicago Sun Times 2/6/88 p. 66"
"5380","Chicago Sun Times 2/9/86, p.?"
"1645","Chicago Sun Times 3/4/90"
"5577","Chicago Sun Times 4/20/86"
"2227","Chicago Sun Times 4/3/87"
"4557","Chicago Sun Times 6/7/87, pp 1-2"
"5012","Chicago Sun Times 7/19/87, p. 51"
"4571","Chicago Sun Times 7/2/86, p. ?"
"4846","Chicago Sun Times 7/5/87, p. 8"
"5353","Chicago Sun Times 8/3/86, p. 3"
"1257","Chicago Sun Times 9/11/86 p?"
"5389","Chicago Sun Times 9/2/86, p. 72"
"7092","Chicago Sun Times 9/28/86, p. ?"
"1764","Chicago Sun Times Nov. 9, 1987, Chicago Profile Section"
"3524","Chicago Sun Times Set. 27, 1986, p?"
"3241","Chicago Sun Times, 10/19/88 p.9"
"7268","Chicago Sun Times, 12/9/90, sect. E, p. 5"
"6803","Chicago Sun Times, 3/ 24/85, p. 68"
"2789","Chicago Sun Times, 3/14/57, p. 6"
"3662","Chicago Sun Times, 3/6/86, p. 65"
"1076","Chicago Sun Times, 4-25-82, Sec. ?, p. ?"
"3604","Chicago Sun Times, 5/16/86, p. 97"
"3035","Chicago Sun Times, 9/ 2/87, p. 24"
"8066","Chicago Sun Times, Dec. 9, 1990, section e, p. 5"
"2169","Chicago Sun Times, Feb. 22, 1987, p. 10"
"2653","Chicago Sun Times, July 22, 1986, p.?"
"4350","Chicago Sun Times, June 12, 1983, p.?"
"1499","Chicago Sun Times, June 26, 1987, pp. 1 & 16"
"8115","Chicago Sun Times, March 28, 1971, no citation for page number"
"2220","Chicago Sun Times, March 29, 1987, p1, 6"
"2526","Chicago Sun Times, May 27, 1985, p16"
"7263","Chicago Sun Times, May 8, 1985, p. 36"
"7479","Chicago Sun Times, Midwest mag., June 18, 1967, p. 33"
"2486","Chicago Sun Times, Oct. 22, 1982, p. 1"
"7974","Chicago Sun Times, Oct. 22, 1986, page 52"
"7783","Chicago Sun Times, Oct. 8, 1986, p.?"
"7974","Chicago Sun Times, Sept. 27,  1986, no citation provided for page number"
"3873","Chicago Sun Times,10/30/86, p. 89"
"3408","Chicago Sun Times,4/4/88, Chicago Profile section"
"446","Chicago Today"
"2284","Chicago Today 3/12/72"
"5242","Chicago Tribune 9/13/87, sec. 15, p. 2"
"2227","Chicago Tribune  4/3/87"
"4485","Chicago Tribune  6/20/86, sec. 7, p. 59"
"4402","Chicago Tribune  7/3/86, sec 7, p. 44"
"4576","Chicago Tribune  9/23/88, sec. 7, p. 62"
"4385","Chicago Tribune  9/9/88, sec 7, p. 57"
"272","Chicago Tribune (newspaper)"
"402","Chicago Tribune (newspaper)"
"227","Chicago Tribune (newspaper)"
"103","Chicago Tribune (newspaper)"
"1006","Chicago Tribune (newspaper)"
"126","Chicago Tribune (newspaper)"
"304","Chicago Tribune (newspaper)"
"520","Chicago Tribune (newspaper)"
"684","Chicago Tribune (newspaper)"
"82","Chicago Tribune (newspaper)"
"883","Chicago Tribune (newspaper)"
"730","Chicago Tribune (newspaper)"
"744","Chicago Tribune (newspaper)"
"589","Chicago Tribune (newspaper)"
"831","Chicago Tribune (newspaper)"
"835","Chicago Tribune (newspaper)"
"95","Chicago Tribune (newspaper)"
"3408","Chicago Tribune , ?month, 1986, Tempo, cover pp. 1,3"
"7426","Chicago Tribune 1/16/87, sec. 7, p. 47"
"7692","Chicago Tribune 1/18/63, p.?"
"5297","Chicago Tribune 1/22/88, sec. 7, p. 45"
"4042","Chicago Tribune 1/6/88, p.?"
"4890","Chicago Tribune 1/6/88, sec 7, p. 11"
"5306","Chicago Tribune 1/9/88 sect. & page?"
"4836","Chicago Tribune 10/1/88, sec. 1, p. 8"
"8483","Chicago Tribune 10/16/88 sec 15, pp.1, 4-5"
"5323","Chicago Tribune 10/16/88, sec. C, p. 1"
"3384","Chicago Tribune 10/30/87 sec. 7, p. 90"
"3857","Chicago Tribune 11/12/87, Tempo, pp. 1, 15"
"3988","Chicago Tribune 11/13/87, sec 7, p. 62"
"7086","Chicago Tribune 11/16/62"
"2179","Chicago Tribune 11/22/8(?) Sec. 15, p2"
"7135","Chicago Tribune 11/4/88, sec 7, p. 87"
"4396","Chicago Tribune 11/6/87, sec 2, p. 4"
"3825","Chicago Tribune 12/12/86, sec. 7, p. 106"
"7339","Chicago Tribune 12/12/86, sect. 6, p. 106"
"4758","Chicago Tribune 12/18/87, sec 7, p. 101"
"5494","Chicago Tribune 12/18/87, sec. 7, p. 124"
"7271","Chicago Tribune 12/18/87, sect. 7, p. 101"
"2227","Chicago Tribune 12/2/88"
"3798","Chicago Tribune 12/21/86 sec 13, p. 10"
"3106","Chicago Tribune 12/25/87, sec 7, p. 87"
"3805","Chicago Tribune 12/26/86, sec 7, p. 52"
"3878","Chicago Tribune 12/4/86, p. ?"
"2951","Chicago Tribune 12/8/85 Sect. 16, p. 1"
"8483","Chicago Tribune 2/1/87 sec 6, p.3"
"6336","Chicago Tribune 2/1/87, sect. 13, p. 14"
"7271","Chicago Tribune 2/13/87, sect. 7, p. 53"
"7525","Chicago Tribune 2/17/88, sec. 2, p. 13"
"5353","Chicago Tribune 2/21/88, sec. 6, p. 3"
"5551","Chicago Tribune 2/22/87, sec 15, p 3"
"7698","Chicago Tribune 2/6/87, sec 7, pp. 81, 83"
"3921","Chicago Tribune 3/17/88, sec ? pp 1,19"
"3339","Chicago Tribune 3/22/87, sec. 2, p. 9"
"2219","Chicago Tribune 3/29/1987"
"2669","Chicago Tribune 3/4/94 p. 10, sect. 2C (Obit.)"
"3656","Chicago Tribune 4/13/88, sect. & page ?"
"7433","Chicago Tribune 4/29/86, sec. 2, p. 1"
"7349","Chicago Tribune 4/30/87, sec 7, p. 90"
"3988","Chicago Tribune 5/2/86, sec 7, p. 45"
"2669","Chicago Tribune 5/29/94 p. 52"
"4885","Chicago Tribune 5/4/86, sec. 13, p. 7"
"4360","Chicago Tribune 5/6/88, sec 7, p. 2"
"7339","Chicago Tribune 6/15/88, sect. 7, p. 5"
"7135","Chicago Tribune 6/19/87, sec 7, pp. 94 & 98"
"4029","Chicago Tribune 6/19/87, sec. 7, p. 62"
"5354","Chicago Tribune 6/19/87, sec.7, p. 94"
"5398","Chicago Tribune 6/26/87 sec 7, p. 86"
"4266","Chicago Tribune 7/1/87, sec. 7, p. 3"
"7504","Chicago Tribune 7/10/88, sect. ?"
"2179","Chicago Tribune 7/14/88 Sec. 5 p3"
"4589","Chicago Tribune 7/17/87, sec 7, p. 6"
"7105","Chicago Tribune 7/23/86, sec 2, p. 6"
"7504","Chicago Tribune 7/31/88, sect. 6, p. 2"
"2179","Chicago Tribune 8/16/85 Sec. 7, p55"
"3876","Chicago Tribune 8/19/90 sec ? p ?"
"1257","Chicago Tribune 9/21/86 Sec. 18, p3"
"5122","Chicago Tribune 9/23/87, sect. 7, p. 22"
"2378","Chicago Tribune January 23, 1987, sect. 7, p. 62"
"7339","Chicago Tribune Mag. 4/10/94"
"3324","Chicago Tribune Magazine 7/30/61"
"6374","Chicago Tribune Magazine, 3/27/66, pp. 67 & 72"
"8252","Chicago Tribune Magazine, 7/30/61"
"1673","Chicago Tribune Nov. 6, 1987, sect. 7, p94"
"1910","Chicago Tribune obituary 3/7/57"
"1508","Chicago Tribune,  10/16/87, Sec. 7, p. 90"
"2311","Chicago Tribune, 1/ 6/ 88, sec. 7, p. 8"
"3761","Chicago Tribune, 1/19/72, obit."
"8304","Chicago Tribune, 1/2/81"
"7743","Chicago Tribune, 1/20/85, sec. 2, p. 7"
"5863","Chicago Tribune, 1/3/85, sec. 7, p. 9A"
"8273","Chicago Tribune, 10/16/1988 sec 15, pp. 1, 4-5"
"8274","Chicago Tribune, 10/20/88 sec 5, p.12"
"8125","Chicago Tribune, 10/30/87, sec 7 p 90"
"2596","Chicago Tribune, 11/ 20/87, Sec 7, p 108"
"8451","Chicago Tribune, 11/11/90 sec. 5, p.9"
"8532","Chicago Tribune, 11/20/88, sec 5, p.9"
"3090","Chicago Tribune, 12/ 21/86, sec. 13, p. 10"
"8170","Chicago Tribune, 12/14/86, sec 13, p.12"
"8170","Chicago Tribune, 12/19/86, sec 7 p.63"
"3746","Chicago Tribune, 12/21/86, sec. 13, p. 10"
"8219","Chicago Tribune, 12/28/86, sec 2, p.6"
"4151","Chicago Tribune, 12/4/87, sec 7, p. 22"
"7810","Chicago Tribune, 12/4/87, sect. 7, p. 55"
"1508","Chicago Tribune, 2/8/87, Sec. 6, p. 3"
"4204","Chicago Tribune, 3/25/88, sec 7, p. 12"
"8451","Chicago Tribune, 4/8/88, sec. 7, p. 90"
"3604","Chicago Tribune, 5/15/86, sec. 2, p.10"
"7810","Chicago Tribune, 5/4/88, sect. 7, pp. 20-2, 24"
"1508","Chicago Tribune, 5/8/87, Sec. 7, p. 84"
"2965","Chicago Tribune, 6/ 3/88, Sec. 7, p. 76"
"4808","Chicago Tribune, 6/19/87, sec. 5, p. 1"
"2228","Chicago Tribune, 7/ 10/ 87, sec 7, p 85"
"2668","Chicago Tribune, 7/ 24/88, sec 15, p 3"
"2983","Chicago Tribune, 8/16/87, Sec. 15, p. 5"
"3553","Chicago Tribune, 8/3/86, sec. 15, pp.1,3"
"2700","Chicago Tribune, 9/ 9/88, sec 7, p 87"
"2790","Chicago Tribune, 9/13/88, sec 7, pp 91-2, 94"
"8221","Chicago Tribune, 9/6/87, sec 15, p.4"
"2486","Chicago Tribune, 9/7/84, p. 1 Ent. Sect."
"7968","Chicago Tribune, April 23, 1989"
"2418","Chicago Tribune, Aug. 16, 1987"
"1949","Chicago Tribune, August 16,  1987"
"1829","Chicago Tribune, Dec. 14, 1986"
"4182","Chicago Tribune, Dec. 21, 1986, sect. 13, p. 10"
"7160","Chicago Tribune, Dec. 21, 1986, sect. 13, p. 10"
"7657","Chicago Tribune, Dec. 21, 1986, sect. 13, p. 10"
"7840","Chicago Tribune, Dec. 4, 1987, sect. 7, p. 102"
"8199","Chicago Tribune, December 21, 1986, sec 13 p. 10"
