Artist_Accession_Number,call_number,pages,notes
"82","N6512.R64","",""
"82","N6530.I4A37 1983","",""
"82","N6530.I4I5","",""
"82","N6535.C5C476 2004","",""
"82","N6535.C5R4 2011","",""
"82","N6536.C8 1971","",""
"82","N6536.C8 1982","",""
"82","N6536.W56 1999","",""
"82","N7575.A78 2001","",""
"82","N8838.C6 1983","",""
"82","N8838.M32","",""
"82","ND1245.C5J32","",""
"82","ND1311.V36","",""
"82","ND212.B38","",""
"82","ND212.G36","",""
"82","ND212.W27 2009","",""
"82","ND217.B37","",""
"82","ND235.C45 B54 2007","",""
"82","ND235.C45G74 2004","",""
"82","ND235.C4E96 1933","",""
"82","ND237.A32C5","",""
"82","ND237.A32C76","",""
"82","ND2638.C4G73 2001","",""
"82","NX456.F73 2002","",""
"82","NX511.C45A78 1996","",""
"82","Z5961.C45B59 1991","",""
"83","N11.C5Y6","",""
"83","N4035.N48 1978","",""
"83","N6510.F34 1990","",""
"83","N6512.F26 1985","",""
"83","N6512.N4","",""
"83","N6535.C5C69 2007","",""
"83","N6536.W56 1999","",""
"83","NB212.N27","",""
"83","ND1245.C5J32","",""
"83","ND2638.C4G73 2001","",""
"85","N5220.F76F75 2002","",""
"85","N6510.F34 1990","",""
"85","N6512.F26 1985","",""
"85","N6530.I4S73","",""
"85","N6535.C5C476 2004","",""
"85","N6536.W56 1999","",""
"85","N8640.R527C3","",""
"85","ND235.C45G74 2004","",""
"85","NX767.C4C54 1929","",""
"86","N6538.L5T9 1976","",""
"88","N6510.F34 1990","",""
"88","N6512.F26 1985","",""
"88","N6536.W56 1999","",""
"91","N6535.C5C45 2001","",""
"91","N6535.C5C45 2002","",""
"92","N6512.F26 1985","",""
"92","N6530.I4S73","",""
"92","N6536.W56 1999","",""
"93","N6536.W56 1999","",""
"95","N6536.W56 1999","",""
"98","N6510.F34 1990","",""
"98","N6536.W56 1999","",""
"99","N6510.F34 1990","",""
"99","N6530.I4S73","",""
"99","N6536.W56 1999","",""
"100","N6535.C5C467 1989","",""
"103","N6535.C5M55","",""
"103","N8217.D5D5 1989","",""
"103","NX511.C45A78 1996","",""
"103","TR645.C552A78 2002","",""
"103","TR647.A45 1984","",""
"105","N6535.C5C467 1989","",""
"108","N6512.A67 2001","",""
"109","N6510.F34 1990","",""
"109","N6536.W56 1999","",""
"111","N5020.C55 yr. 1938 v. 42","",""
"111","N531.U6A8 1934","",""
"111","N531.U6L6 1987","",""
"111","N6510.F34 1990","",""
"111","N6512.F26 1985","",""
"111","N6535.C5C47","",""
"111","N6536.W56 1999","",""
"111","ND205.U52 1962","",""
"113","N6510.F34 1990","",""
"113","N6512.F26 1985","",""
"113","N6536.W56 1999","",""
"114","F550.S8O5","",""
"114","N6530.I4S73","",""
"118","F548.37C56 2006","",""
"118","N6535.C5C45 1999","",""
"118","N6535.C5C45 2002","",""
"119","N6512.F26 1985","",""
"119","N6536.W56 1999","",""
"121","N6530.I4I55 1999","",""
"123","NK835.I4I4 1981","",""
"126","N5020.C55 yr. 1973 v. 74","",""
"126","N5020.C5C565 1980","",""
"126","N6512.A69 1980","",""
"126","N6530.I4I52","",""
"126","N6535.C54C54","",""
"126","N6535.C5C467 1989","",""
"126","N6535.C5C47","",""
"126","N6535.C5C478 1978","",""
"126","N6535.C5C76 1976","",""
"126","N6535.C5M8","",""
"126","N6537.5.P47 1990","",""
"126","N6537.A4675A4 1983","",""
"126","N6537.A4675A4 1989","",""
"126","N72.S6G69 2010","",""
"126","NB212.W37 1986","",""
"126","NX511.C45A78 1996","",""
"127","N5020.C5C564 1957","",""
"127","N6510.F34 1990","",""
"127","N6536.W56 1999","",""
"127","NC997.A1T8","",""
"131","N6535.C5C467 1989","",""
"135","N6510.F34 1990","",""
"135","N6512.F26 1985","",""
"135","N6536.W56 1999","",""
"137","N5020.C5C564 1957","",""
"137","N6536.W56 1999","",""
"138","N5020.C55 yr. 1974/75 v. 75","",""
"138","N5020.C5C564 1957","",""
"138","N6510.F34 1990","",""
"138","N6535.C5S86 1998","",""
"138","N6536.W56 1999","",""
"138","N6537.C5C467 1989","",""
"138","Z5961.C45B59 1991","",""
"140","N6535.C5C467 1989","",""
"145","N11.C5Y6","",""
"145","N5020.C5C564 1957","",""
"145","N6510.F34 1990","",""
"145","N6536.W56 1999","",""
"145","N6538.J4Y64","",""
"147","N6512.F26 1985","",""
"147","N6536.W56 1999","",""
"147","NC997.A1T8","",""
"148","BV168.F5A5 1967","",""
"148","N11.C5Y6","",""
"148","N5020.C5C564 1957","",""
"148","N6536.W56 1999","",""
"149","N6536.W56 1999","",""
"150","N6512.F34 1990","",""
"150","N6536.W56 1999","",""
"151","N6530.I5A78","",""
"152","N6535.C5C45 1998","",""
"152","N6535.C5C467 1989","",""
"153","N11.C5Y6","",""
"153","N5020.C5C564 1957","",""
"154","N6510.F34 1990","",""
"154","N6512.F26 1985","",""
"154","N6536.W56 1999","",""
